year,state,headingCode,heading,metricFOB
2023,Rio de Janeiro,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",910807488
2023,Bahia,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",905010430
2023,Minas Gerais,0202,"Carnes de animais da espécie bovina, congeladas",885058869
2023,Ceará,7207,Produtos semimanufacturados de ferro ou aço não ligado,873465901
2023,Rio Grande do Sul,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",832633251
2023,Santa Catarina,1201,"Soja, mesmo triturada",815829706
2023,Rondônia,0202,"Carnes de animais da espécie bovina, congeladas",794369818
2023,Espírito Santo,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",775484911
2023,Espírito Santo,6802,"Pedras de cantaria ou de construção (exceto de ardósia) trabalhadas e obras destas pedras, exceto as da posição 6801; cubos, pastilhas e artigos semelhantes, para mosaicos, de pedra natural (incluída a ardósia), mesmo com suporte; grânulos, fragmentos e",767435259
2023,Goiás,7202,Ferro-ligas,757324382
2023,Espírito Santo,2709,Óleos brutos de petróleo ou de minerais betuminosos,736229682
2023,Mato Grosso do Sul,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,715161775
2023,Paraná,1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados",715116285
2023,Bahia,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,707566297
2023,Alagoas,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",697374826
2023,São Paulo,4802,"Papel e cartão, não revestidos, dos tipos utilizados para escrita, impressão ou outros fins gráficos, e papel e cartão para fabricar cartões ou tiras perfurados, não perfurados, em rolos ou em folhas de forma quadrada ou rectangular, de qualquer formato o",681799424
2023,Mato Grosso do Sul,0202,"Carnes de animais da espécie bovina, congeladas",675330049
2023,Rio Grande do Sul,1001,Trigo e mistura de trigo com centeio,645731524
2023,Goiás,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",636889593
2023,São Paulo,0901,"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção",632485233
2023,Bahia,5201,"Algodão, não cardado nem penteado",625269550
2023,Maranhão,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",622304697
2023,Rio Grande do Sul,0203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas",612507056
2023,Minas Gerais,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",609748205
2023,Rio Grande do Sul,1006,Arroz,604454865
2023,Bahia,7108,"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó",595631570
2023,Maranhão,1005,Milho,594950479
2023,São Paulo,8409,Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408,592108699
2023,Paraná,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",591125485
2023,Minas Gerais,2530,Matérias minerais não especificadas nem compreendidas em outras posições,567701366
2023,Rio de Janeiro,7224,"Outras ligas de aço, em lingotes ou outras formas primárias; produtos semimanufacturados, de outras ligas de aço",562464132
2023,Minas Gerais,7304,"Tubos e perfis ocos, sem costura, de ferro ou aço",561052815
2023,Santa Catarina,8501,"Motores e geradores, elétricos, exceto os grupos electrogéneos",555987270
2023,São Paulo,4011,"Pneumáticos novos, de borracha",554268448
2023,Santa Catarina,8409,Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408,553717809
2023,Paraná,2716,Energia elétrica,552526007
2023,Pará,7601,Alumínio em formas brutas,548099015
2023,Paraná,8703,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida",544969127
2023,São Paulo,3004,"Medicamentos (exceto os produtos das posições 3002, 3005 ou 3006) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profilácticos, apresentados em doses (incluindo os destinados a serem administrados por via sub",531144729
2023,Minas Gerais,2804,"Hidrogénio, gases raros e outros elementos não metálicos",527177397
2023,Mato Grosso,1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados",520509603
2023,Rio Grande do Sul,3901,"Polímeros de etileno, em formas primárias",519172988
2023,São Paulo,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",494535649
2023,Goiás,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",490796372
2023,São Paulo,1602,"Outras preparações e conservas de carne, miudezas ou sangue",486593934
2023,São Paulo,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,483223587
2023,Pará,0202,"Carnes de animais da espécie bovina, congeladas",479684697
2023,Mato Grosso,7108,"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó",479341456
2023,Paraná,4412,"Madeira contraplacada ou compensada, madeira folheada, e madeiras estratificadas semelhantes",470756733
2023,Pernambuco,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",469210657
2023,Rio Grande do Sul,1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados",468017574
2023,Rio de Janeiro,8411,"Turborreactores, turbopropulsores e outras turbinas a gás",459187167
2023,Tocantins,1005,Milho,448183702
2023,Paraná,8704,Veículos automóveis para transporte de mercadorias,445693617
2023,São Paulo,1202,"Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados",442070789
2023,Rio Grande do Sul,8708,Partes e acessórios dos veículos automóveis das posições 8701 a 8705,439782681
2023,São Paulo,3301,"Óleos essenciais (desterpenizados ou não), incluídos os chamados « concretos » ou « absolutos »; resinóides; oleorresinas de extracção; soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tr",433894007
2023,Pernambuco,8703,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida",430403438
2023,São Paulo,7305,"Outros tubos (por exemplo: soldados ou rebitados), de secção circular, de diâmetro exterior superior a 406,4 mm, de ferro ou aço",427806326
2023,Paraná,8429,"Bulldozers, angledozers, niveladoras, raspo-transportadoras (scrapers), pás mecânicas, escavadoras, carregadoras e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsores",426676436
2023,Minas Gerais,8708,Partes e acessórios dos veículos automóveis das posições 8701 a 8705,419613126
2023,Goiás,2603,Minérios de cobre e seus concentrados,418803491
2023,Pará,7202,Ferro-ligas,415166530
2023,São Paulo,8807,"Partes dos aparelhos das posições 88.01, 88.02 ou 88.06",409232594
2023,Minas Gerais,4702,"Pasta química de madeira, para dissolução",407709339
2023,Pará,1005,Milho,401632944
2023,São Paulo,8483,"Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans",388978430
2023,Espírito Santo,8905,"Barcos-faróis, barcos-bombas, dragas, guindastes flutuantes e outras embarcações em que a navegação é acessória da função principal; docas flutuantes; plataformas de perfuração ou de exploração, flutuantes ou submersíveis",386046983
2023,Tocantins,0202,"Carnes de animais da espécie bovina, congeladas",382510165
2023,Minas Gerais,8704,Veículos automóveis para transporte de mercadorias,381808916
2023,São Paulo,1005,Milho,368575654
2023,Maranhão,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",367732705
2023,Minas Gerais,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",367004828
2023,São Paulo,3808,"Insecticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfectantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a for",361141638
2023,Paraná,0203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas",356668853
2023,Mato Grosso do Sul,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",355832015
2023,São Paulo,8706,"Chassis, com motor, para veículos automóveis das posições 87.01 a 87.05",340230589
